i,j
398,2971
399,718
399,2886
400,2035
400,3385
401,759
402,886
402,3369
403,1355
404,904
404,2470
405,1091
405,1580
406,610
406,1241
407,803
407,1769
408,2171
408,2938
409,2560
411,1221
411,1284
412,858
413,2727
413,3121
414,988
414,1157
415,3564
415,3613
416,2063
416,2769
418,713
418,3510
419,1509
419,3530
420,2171
420,3961
421,2052
421,3362
422,1114
422,2975
423,1326
424,1105
424,1538
425,540
426,555
426,1001
427,1801
427,3466
428,434
428,3486
429,895
429,2388
430,1176
431,569
431,3831
432,764
433,529
433,2942
435,1206
436,1361
436,3901
437,503
438,508
438,783
439,628
439,1061
440,917
440,1249
441,749
441,1289
442,3668
443,3776
444,891
444,2095
445,629
446,574
447,872
448,1958
448,3461
451,2869
451,3173
452,1014
452,1205
453,1022
453,2417
454,928
454,1119
455,736
456,490
456,1258
457,931
457,957
458,1074
459,585
459,3562
460,759
461,916
461,1208
463,2937
464,776
464,2173
465,3082
465,3499
466,1620
466,3821
467,2133
467,2911
468,1597
468,3644
469,1411
470,655
471,1180
472,1574
472,3554
473,539
473,1487
474,1981
474,3028
475,887
475,3354
476,620
477,1658
477,2400
478,2797
479,518
480,590
480,3524
482,696
483,3763
484,538
486,918
486,1718
487,711
487,1740
488,670
488,3334
489,751
489,3201
491,1599
491,1619
493,599
493,712
494,803
494,3848
495,1889
495,3483
496,1087
496,3353
497,588
498,2353
498,3990
499,2209
499,3427
500,790
501,2118
501,2973
502,799
503,773
504,961
504,1189
505,760
505,1378
506,796
507,1348
508,782
509,672
509,2709
510,1085
510,1358
511,2768
511,3682
512,1068
512,1327
513,1905
513,3417
514,959
514,3237
515,2459
515,3809
516,1698
516,2118
517,649
517,1039
518,570
519,987
520,2702
521,1287
522,777
522,3264
523,3568
523,3775
524,1839
526,1185
526,1413
527,535
527,658
528,1623
528,3083
529,838
530,1532
531,3742
531,3964
532,1136
532,1209
533,1051
533,3834
534,975
534,2281
535,728
536,1277
536,1441
537,2290
537,2849
538,1300
539,910
540,3771
541,2765
542,1016
542,1294
543,1418
543,3635
544,746
546,2141
546,2415
547,567
547,3912
548,1686
548,3443
549,3247
550,1014
550,1147
551,2700
552,1351
553,1976
553,2533
554,1158
554,1348
555,1292
556,3668
557,1308
557,2149
558,840
558,869
559,740
560,1149
561,692
561,1253
562,863
562,1137
564,2964
565,3091
565,3518
566,644
566,1122
568,2373
568,3915
571,709
571,3394
573,1511
573,3235
574,603
575,1321
575,3885
576,762
576,1359
577,1022
577,3398
578,3804
579,761
579,3829
580,957
580,1237
581,1713
581,3495
582,1542
583,3915
584,1088
585,3201
586,1493
586,3347
587,1146
587,3824
589,1153
589,3193
591,1365
591,3717
592,770
592,2886
593,718
594,984
594,1366
595,1487
596,2588
597,962
600,2812
601,2315
602,2250
603,2442
604,1284
604,3449
606,641
607,1277
609,944
610,741
611,876
611,933
612,2005
612,2418
613,1025
613,3299
614,3044
615,1491
615,1561
616,1456
617,1200
617,1593
618,661
618,3275
619,947
619,1377
620,660
621,3596
622,744
623,1486
623,1940
624,688
625,1225
625,3924
626,3479
630,1702
631,2752
631,2980
632,1152
633,1034
634,2890
636,754
637,1708
637,3465
638,1141
638,1197
639,1603
639,3867
640,1046
642,1197
642,1221
643,1402
643,3264
644,1813
645,789
645,3317
646,1390
647,1041
647,2932
648,820
648,3907
649,1262
650,689
651,663
653,837
653,1276
654,936
654,3964
655,1150
656,1256
656,3538
657,1839
657,3722
659,1549
659,2137
660,764
661,1435
662,1980
662,3531
663,1379
664,3394
665,698
665,1037
666,1505
666,2784
667,716
667,1008
668,751
668,950
669,1164
669,3357
670,683
671,2393
671,3154
672,3029
673,3174
673,3401
674,707
674,963
675,3760
676,1015
676,3795
677,970
678,1052
679,737
679,3276
680,961
680,1313
681,1496
681,3687
683,846
684,968
685,3249
685,3750
686,1481
687,1135
687,1397
688,1124
689,1597
690,1816
691,1065
692,1614
694,3418
695,1161
697,853
697,3911
698,3406
699,935
699,1043
700,1965
700,3024
701,3367
704,765
705,715
705,1576
707,1929
708,2429
709,761
711,1039
712,1340
713,3926
714,1117
714,1235
715,3956
716,3236
717,2033
719,772
720,1434
720,2088
721,750
721,1718
722,1409
722,1440
724,938
724,2373
725,1567
725,2028
726,739
726,2052
727,1290
729,945
729,1545
730,1574
730,3569
731,942
731,2946
732,1153
732,1382
733,1532
734,1372
734,3781
737,3172
738,1554
740,1929
741,2161
742,1136
743,1509
743,3278
744,1134
745,3375
747,3614
748,1150
749,1110
750,1620
752,1187
752,2159
753,1984
754,3651
755,1264
756,1669
756,2246
757,781
758,762
758,1474
760,3733
763,879
763,2923
766,1549
767,768
771,1815
771,2352
772,869
774,1699
775,3409
776,3280
778,1174
779,1657
779,3981
780,2678
783,858
784,1309
784,3868
785,3714
786,2945
786,3452
787,1086
787,1713
788,2874
788,3220
789,2450
791,943
791,1012
792,931
792,1261
793,3113
794,1250
796,1896
797,2582
797,2700
798,1386
798,2519
800,889
800,1170
801,842
801,3135
802,1195
802,3205
804,808
804,1432
805,1452
806,2194
806,2412
807,1547
807,3761
808,1428
809,3645
810,3014
810,3952
811,1329
811,2308
812,3486
813,845
813,2544
814,1295
814,1852
815,887
815,3873
816,855
816,951
817,1361
817,3817
818,3913
818,3955
819,1294
821,1283
821,2093
822,3992
823,1586
823,2269
824,2339
824,3344
825,2045
825,3787
826,3139
826,3884
827,3427
828,2759
828,3597
829,1185
830,1482
830,2186
831,2584
831,3973
832,1094
832,1330
833,1092
833,2497
834,3250
835,1172
835,1250
836,2980
837,1415
839,3536
839,3747
841,1369
841,3838
842,2397
843,1428
843,3391
844,1332
844,2124
845,2783
846,851
847,1384
847,3301
848,1075
848,1632
849,1988
849,3143
850,3866
850,3876
851,2598
852,3506
852,3716
853,923
854,1044
855,2510
856,1582
856,3791
857,1047
857,2170
859,921
859,3995
860,940
860,1112
861,960
861,1572
862,3336
863,1032
864,1134
864,1759
865,895
865,1167
866,1333
866,1897
867,1367
867,3652
868,1916
868,2950
870,3117
870,3622
871,2075
871,3633
872,3251
874,956
874,3564
875,2072
875,3074
876,1254
877,907
878,2418
878,3177
880,1059
880,3911
881,2903
881,3603
882,3288
882,3814
883,1434
883,2410
884,2205
884,3243
885,1828
886,2016
888,1071
888,3942
889,1555
890,1533
892,897
893,1170
893,1296
894,2669
894,3430
896,2367
896,3122
897,3235
898,2322
898,2451
899,2357
899,2973
900,1310
900,1591
901,3006
902,1010
902,3616
903,1038
903,2187
904,3816
905,2194
906,1045
906,3321
907,1944
908,2912
908,3550
909,2630
909,3610
910,1542
911,1754
912,2749
912,3948
913,2456
913,2661
914,2881
914,3921
915,1408
915,3919
916,3820
917,1442
919,2346
919,3344
920,3532
921,1476
922,3515
923,3765
924,2226
924,3203
925,1142
925,1274
926,3156
926,3959
927,2454
927,3708
928,1101
929,1041
929,3137
930,1518
932,2158
932,2819
933,1559
934,3202
934,3640
936,1429
937,3610
939,2965
939,3786
940,1444
941,1600
943,2611
944,3811
945,3510
946,1181
946,1285
947,3620
948,3245
948,3307
949,2037
949,2492
950,2971
951,3104
952,2474
952,3234
953,1383
953,2969
954,978
954,2343
955,2776
955,3750
956,1133
960,3496
962,968
963,3855
964,1726
964,2782
965,1195
965,3720
966,976
967,1220
967,2250
969,1073
969,3949
970,2670
971,1108
972,1010
972,1286
973,1554
973,2027
974,1401
974,2993
975,1322
976,3653
977,2029
977,3309
978,1251
979,1427
979,2682
980,3758
981,1274
981,3961
982,1194
982,3307
983,1405
985,1232
985,3995
986,3834
987,3924
988,3974
989,1031
989,3195
990,1706
990,3434
991,1242
991,2840
992,1421
992,1478
993,1000
993,3734
994,1191
995,3416
995,3560
996,1619
997,1447
997,2985
999,1052
999,1278
1000,3578
1003,1135
1003,3153
1004,1438
1004,3615
1005,1138
1005,1479
1006,2075
1006,3547
1007,1789
1007,2532
1008,1200
1009,1522
1011,2094
1012,3755
1013,3963
1015,2582
1016,2709
1017,2236
1017,3957
1018,1191
1019,1817
1019,3139
1020,1341
1020,1592
1021,2742
1021,2944
1023,1762
1023,3553
1024,2568
1024,3749
1026,3076
1026,3769
1028,1665
1028,3652
1029,1696
1030,1183
1030,3968
1031,1048
1032,2462
1033,2638
1033,2791
1035,2342
1035,2859
1036,1118
1036,3684
1037,1269
1038,1867
1040,1570
1042,3761
1045,2957
1046,3865
1047,1944
1049,1450
1049,1489
1050,2879
1050,3482
1053,1454
1054,3763
1055,1243
1055,2537
1056,1575
1056,3325
1057,2381
1057,2994
1058,1527
1058,2047
1059,2137
1060,1357
1060,3677
1061,1982
1062,1550
1063,2252
1063,3439
1064,3123
1064,3661
1065,1213
1066,1102
1066,3779
1067,1537
1068,1096
1070,1578
1070,2122
1072,1303
1073,1530
1075,2117
1076,1182
1076,2914
1077,2459
1078,1273
1078,3588
1079,1397
1079,1478
1080,1268
1080,3835
1081,1498
1081,3944
1082,2223
1083,2256
1083,3855
1084,1447
1084,3059
1085,1933
1086,1117
1087,1827
1088,1617
1089,1128
1089,1726
1090,3142
1090,3577
1091,3443
1092,3095
1093,2577
1093,3220
1094,3174
1095,3988
1096,1196
1097,1115
1098,1392
1098,1656
1099,2315
1100,2614
1100,3707
1101,2391
1102,3875
1103,1162
1103,1350
1104,3318
1104,3916
1105,3237
1106,1528
1107,1557
1107,1695
1108,2537
1109,1422
1109,3477
1111,1198
1111,3827
1112,1458
1113,1131
1113,1541
1114,1148
1115,1533
1116,2200
1118,3206
1120,2003
1121,1426
1121,1632
1122,3580
1123,3071
1124,3620
1125,1414
1125,2368
1126,1686
1127,2650
1127,3883
1128,1201
1129,1315
1129,1823
1130,2599
1130,3433
1131,2367
1132,1458
1132,3659
1133,2782
1137,1504
1138,1930
1139,2437
1139,3357
1140,1587
1140,1828
1141,3635
1142,1218
1143,2286
1143,2432
1144,1352
1144,3659
1145,1358
1145,1567
1146,1738
1147,1508
1148,1520
1149,1375
1151,1374
1152,1977
1154,1433
1154,3892
1155,3226
1155,3642
1156,3053
1156,3169
1157,1552
1158,3348
1159,1743
1159,3800
1160,1271
1160,3156
1161,1655
1162,1915
1163,2443
1163,2531
1164,3142
1165,2390
1165,3463
1166,3623
1166,3663
1168,3539
1169,3367
1169,3842
1171,1966
1171,3105
1173,3416
1173,3913
1174,2369
1175,1317
1175,1515
1177,3634
1177,3882
1178,2677
1179,1872
1179,3901
1180,1468
1181,2098
1182,3777
1183,1443
1184,1781
1184,2272
1186,2354
1187,3326
1188,1971
1188,3454
1189,3006
1190,2062
1190,2472
1192,3314
1193,1373
1193,1505
1194,1398
1196,2776
1199,1522
1201,1887
1203,1710
1203,3655
1204,1507
1204,1890
1205,3554
1206,3719
1207,1374
1207,1953
1208,1268
1209,2318
1210,1363
1210,2190
1211,1419
1211,1575
1212,3493
1212,3587
1213,1287
1214,2225
1214,2994
1215,1272
1215,3303
1216,1800
1216,3923
1219,1987
1219,2255
1220,2216
1222,3679
1223,1800
1223,3615
1224,3776
1226,1610
1226,3823
1227,2750
1227,3942
1228,1663
1228,3921
1229,2463
1229,3398
1230,2829
1230,3181
1231,1339
1231,3631
1232,3334
1233,1336
1233,1354
1234,1695
1234,3014
1235,3173
1236,1241
1236,3348
1238,1706
1238,2237
1239,3337
1239,3431
1240,3969
1240,3983
1242,3843
1243,1396
1244,1490
1245,1326
1245,1470
1246,3604
1246,3817
1247,2241
1247,3328
1248,1796
1249,3242
1251,1583
1253,2682
1255,1529
1256,1547
1257,1606
1257,3078
1258,2421
1259,2467
1260,1512
1260,1543
1263,1364
1264,1331
1265,1782
1265,2764
1266,2906
1266,2911
1267,3687
1269,3569
1270,3436
1271,3815
1272,1904
1273,1455
1275,1467
1275,1648
1278,1488
1279,1305
1279,3734
1280,1396
1280,2386
1281,1633
1281,2159
1282,1449
1282,2676
1283,1784
1285,1473
1286,3250
1288,2410
1288,2488
1289,1544
1290,2316
1291,1398
1291,3182
1293,3774
1293,3839
1295,1794
1296,1540
1297,3249
1298,1752
1298,2296
1299,1369
1299,2715
1300,2316
1301,1431
1301,2451
1302,2575
1302,2735
1303,2098
1304,1730
1304,3819
1305,1450
1306,1611
1306,3166
1307,2193
1307,3153
1308,2246
1310,3945
1311,2429
1312,1388
1312,1595
1313,1594
1314,1360
1314,1538
1315,3997
1316,2378
1316,3718
1318,2064
1318,2521
1319,1409
1320,2751
1320,3632
1321,3599
1322,1497
1323,1558
1324,3859
1324,3867
1325,1808
1325,3518
1328,2635
1328,3979
1329,3168
1330,3207
1331,1524
1332,3622
1333,3078
1334,1470
1336,2392
1337,2189
1337,3633
1338,1415
1338,1540
1340,3562
1341,1511
1342,1919
1342,3180
1343,1371
1343,3177
1344,1539
1344,1592
1345,3322
1345,3337
1346,1473
1347,2161
1347,2216
1350,3836
1352,1417
1353,1892
1353,3494
1354,2293
1356,1749
1356,2208
1357,2087
1362,3074
1362,3382
1363,1430
1365,3814
1366,3760
1367,3866
1368,1446
1368,2079
1370,3452
1370,3465
1373,1614
1375,2577
1376,2915
1376,2928
1378,3596
1380,1617
1380,3611
1381,2251
1381,3864
1382,1585
1384,1483
1385,2539
1385,3136
1386,3406
1387,3319
1387,3954
1388,1979
1389,1561
1389,2999
1391,2880
1391,3709
1392,3736
