i,j
1935,2736
1935,2986
1936,3782
1937,2013
1937,3824
1939,3361
1939,3476
1940,1996
1941,2335
1941,2807
1942,3232
1942,3757
1943,1950
1943,3120
1945,3599
1945,3648
1946,3705
1947,3512
1948,2805
1948,3744
1949,2651
1949,3124
1950,3646
1951,3370
1952,2053
1952,2909
1953,3662
1954,2847
1954,3582
1955,2687
1955,2744
1956,2939
1956,3849
1957,3089
1957,3277
1958,3100
1959,3048
1959,3093
1960,2001
1960,2082
1961,2831
1961,3088
1962,3865
1963,2179
1963,3754
1964,2106
1964,2716
1965,2103
1966,2599
1967,2489
1967,2567
1968,3115
1968,3594
1969,2851
1969,2907
1970,2059
1970,2547
1971,3400
1972,2740
1972,3453
1973,3497
1973,3543
1974,2887
1975,2839
1976,2690
1978,2361
1978,2486
1979,2992
1983,2712
1985,3296
1987,2800
1989,2317
1989,2526
1990,2078
1991,2235
1992,2536
1992,2921
1993,2391
1993,3547
1994,3056
1994,3539
1995,2076
1995,2559
1996,2811
1997,2829
1997,3515
1998,2526
1999,3085
2000,2873
2000,3035
2001,2936
2002,2370
2002,2830
2003,3085
2004,2090
2004,3118
2006,2191
2006,2895
2007,2866
2007,3585
2008,3722
2009,2823
2009,3451
2010,2479
2011,2704
2012,3223
2012,3311
2013,3894
2014,2044
2014,3957
2015,3658
2017,2645
2017,3144
2018,3704
2019,2023
2019,2683
2020,2168
2020,3000
2021,2330
2021,3166
2022,2112
2022,2529
2024,3204
2025,2653
2025,2978
2026,2540
2029,2279
2030,2066
2031,3196
2032,2036
2033,3266
2035,3240
2036,2061
2039,2520
2039,3430
2040,2225
2040,3176
2041,2970
2042,2230
2042,2726
2043,2631
2043,2658
2044,3196
2046,2479
2046,3402
2048,3712
2049,2260
2049,3857
2050,3899
2051,2546
2051,2763
2053,3000
2054,2468
2054,3386
2055,3694
2055,3966
2056,2419
2056,3228
2057,2500
2057,3767
2058,2863
2060,2091
2060,2671
2061,3577
2065,3658
2066,2430
2067,2422
2067,2718
2068,2819
2069,3052
2070,2803
2070,3728
2071,3189
2073,2221
2074,3033
2076,2278
2077,3546
2077,3856
2078,2862
2079,3958
2080,2244
2080,3162
2081,2935
2082,2091
2083,3405
2084,3284
2085,3525
2085,3838
2086,2562
2087,3128
2088,3724
2089,2109
2089,2323
2093,3309
2097,3335
2099,2976
2099,3759
2100,2176
2100,3272
2101,2549
2101,2878
2102,2581
2102,3664
2104,2660
2104,3607
2105,3341
2105,3800
2106,2550
2107,3099
2108,3949
2109,3993
2110,2610
2110,2820
2111,2238
2111,2406
2113,2815
2113,3586
2114,3130
2115,2163
2115,3975
2116,2673
2116,3962
2117,2823
2119,3119
2119,3128
2120,2293
2120,2818
2121,2528
2123,3728
2125,2548
2126,2779
2126,3621
2127,2983
2127,3073
2128,2151
2128,2434
2129,3038
2129,3925
2130,2656
2131,2576
2132,3215
2132,3292
2134,2851
2135,2746
2136,2350
2136,3032
2138,2207
2138,3070
2139,3088
2139,3471
2141,3037
2143,3405
2144,3149
2144,3877
2145,3184
2146,3630
2147,2571
2147,3318
2148,3087
2148,3383
2150,3444
2150,3726
2152,2220
2152,3908
2153,3350
2153,3801
2154,2515
2154,2924
2155,3642
2156,2974
2156,3984
2157,3075
2158,3207
2160,2351
2162,2487
2162,3373
2163,2502
2164,2963
2165,3332
2165,3862
2166,2403
2166,3346
2167,2838
2167,2979
2168,3675
2169,3724
2169,3931
2170,3873
2172,2331
2173,2464
2174,2603
2175,2904
2176,3054
2177,3863
2178,2806
2178,3695
2179,3749
2180,2936
2181,3860
2182,2956
2182,2968
2183,3934
2184,2440
2185,2212
2186,3696
2187,2737
2188,2824
2188,3481
2191,2527
2192,2382
2192,2399
2193,2196
2195,2411
2195,3105
2197,2285
2197,3129
2198,3526
2199,2846
2200,3123
2201,2481
2201,3004
2202,2244
2202,2758
2203,2422
2204,2904
2204,3981
2205,3774
2206,2699
2206,2834
2207,3295
2208,3794
2209,3927
2210,3072
2211,2557
2211,3051
2212,2329
2213,3355
2214,3013
2215,2880
2217,3391
2217,3809
2218,2227
2218,2505
2219,3463
2219,3729
2220,3939
2221,3751
2222,2832
2222,3514
2223,3435
2224,3158
2224,3549
2226,2300
2227,2294
2228,3146
2228,3592
2229,3364
2230,3063
2231,2398
2231,3043
2232,2416
2232,3413
2233,3101
2234,3563
2235,2327
2236,3500
2237,3451
2238,2460
2239,3634
2240,2875
2241,3297
2242,2414
2243,3323
2243,3752
2245,2755
2245,3077
2247,2597
2248,2298
2249,3423
2249,3982
2251,2632
2253,2989
2254,2732
2255,2586
2257,3110
2257,3127
2258,3202
2259,2398
2260,3229
2261,3345
2261,3798
2262,2836
2262,3666
2263,2663
2263,3068
2264,2481
2265,3579
2266,2932
2267,3019
2268,2368
2268,3914
2269,3462
2270,3058
2271,2624
2271,2731
2272,2919
2273,3315
2273,3507
2274,2302
2274,3792
2275,2476
2275,2739
2277,3343
2277,3989
2278,2643
2282,2734
2282,3860
2284,3001
2284,3159
2285,3148
2287,2872
2287,2929
2288,3810
2289,2964
2290,3526
2291,3205
2291,3421
2292,2711
2292,3052
2294,3039
2296,2889
2297,2365
2297,2977
2298,3899
2299,3456
2300,3987
2301,2514
2301,2570
2302,2313
2303,3259
2304,3396
2305,3022
2305,3686
2306,2564
2307,2719
2307,3520
2309,2726
2309,2894
2310,3356
2311,2491
2311,2496
2312,3649
2313,3711
2317,2808
2318,3958
2319,2551
2320,2517
2321,2905
2321,3358
2323,2649
2324,3940
2325,3253
2325,3272
2326,3061
2326,3601
2328,3087
2329,2342
2332,3079
2332,3710
2333,2441
2333,3411
2334,3328
2337,2409
2337,2439
2338,2619
2338,2939
2339,3454
2340,3114
2340,3514
2341,3011
2343,3697
2344,2485
2344,2834
2345,2562
2345,3188
2346,3195
2347,2930
2347,3033
2348,2871
2349,2844
2351,2523
2353,2355
2354,3003
2355,3212
2356,2550
2356,2918
2358,3676
2359,3477
2359,3932
2360,2707
2360,3350
2361,3792
2362,3026
2362,3029
2363,2791
2363,3985
2364,2723
2364,3693
2365,3756
2366,3819
2366,3948
2370,3110
2371,3447
2371,3512
2372,3071
2374,2627
2375,2420
2375,3664
2376,3005
2377,3826
2378,3836
2379,3193
2380,3673
2380,3740
2381,3673
2382,2698
2383,3171
2383,3365
2384,2453
2384,3725
2385,3304
2385,3470
2386,3321
2388,2463
2389,2673
2389,3092
2390,2656
2393,2674
2394,2483
2394,3101
2395,2482
2395,3805
2396,2585
2396,2714
2397,3764
2399,3361
2401,2658
2401,3022
2402,3305
2402,3380
2403,3011
2404,2584
2405,3376
2405,3559
2407,2583
2407,2813
2408,3133
2408,3559
2409,3158
2411,3943
2412,3998
2413,2555
2413,3069
2414,3101
2415,3846
2420,3847
2421,3487
2423,2856
2423,3626
2424,2844
2424,3015
2425,2649
2425,3069
2426,2850
2427,3351
2427,3372
2428,2616
2428,3219
2430,2680
2431,2905
2431,3657
2433,2570
2433,2652
2434,2954
2435,3552
2435,3743
2436,2899
2436,3731
2438,2913
2438,2920
2439,3508
2441,3585
2444,2672
2444,2854
2445,3519
2445,3914
2446,3507
2446,3789
2447,2763
2447,3478
2449,2870
2452,3685
2452,3703
2453,3840
2455,2771
2455,2949
2456,2961
2457,3556
2457,3772
2460,2659
2461,3240
2461,3489
2464,3067
2465,3674
2465,3854
2466,2941
2466,3343
2469,3051
2469,3565
2470,3742
2471,2478
2471,3108
2473,2613
2473,2838
2475,2747
2476,2984
2477,2968
2477,3584
2478,2646
2480,3178
2482,3283
2483,2719
2484,2544
2484,3560
2485,2564
2486,3509
2487,2563
2489,3118
2490,2642
2491,2777
2492,3501
2493,3351
2493,3703
2494,2956
2495,3980
2496,3853
2498,2827
2498,3456
2499,3089
2500,3225
2501,2638
2501,3837
2502,3108
2503,2593
2504,2708
2506,3637
2507,3666
2508,3329
2509,2965
2511,2513
2511,3523
2512,2596
2512,3106
2513,3786
2516,3233
2516,3904
2517,2701
2518,3222
2518,3520
2520,2756
2521,3385
2522,3670
2523,3409
2524,2606
2524,3032
2525,3114
2528,3654
2530,3376
2530,3991
2531,2963
2532,3677
2534,2652
2535,3270
2535,3304
2538,2559
2539,2688
2541,3805
2542,3185
2542,3619
2543,2768
2545,3026
2546,3161
2547,2794
2548,2862
2549,3556
2552,3081
2552,3813
2554,3263
2555,3605
2556,2625
2556,2657
2558,2982
2558,3754
2561,3093
2561,3228
2563,3991
2565,2664
2565,2821
2566,2934
2566,3034
2567,2826
2568,3715
2569,3784
2569,3844
2571,3190
2572,2666
2572,2882
2573,2695
2573,2757
2574,3737
2576,3131
2578,3392
2579,2799
2579,3849
2580,3655
2581,2729
2583,3342
2586,3578
2587,2757
2587,3327
2589,2648
2590,2645
2590,2883
2591,3884
2592,2826
2592,2852
2594,3429
2594,3993
2595,2614
2596,3605
2597,2745
2598,3236
2600,2608
2600,3672
2601,2694
2602,2674
2602,2755
2603,2664
2604,3422
2605,3132
2605,3171
2607,3094
2607,3706
2608,3160
2609,3005
2610,2817
2612,2913
2612,3043
2615,3669
2616,3349
2617,2751
2617,2781
2618,2888
2618,2894
2619,2672
2620,3025
2621,3015
2621,3163
2622,3210
2622,3690
2623,2854
2623,3258
2624,2901
2625,2871
2626,2974
2627,3965
2628,2689
2628,2920
2629,3200
2629,3324
2630,3354
2631,2960
2632,3036
2633,2953
2633,3086
2634,2981
2634,3238
2635,3505
2636,2790
2636,3735
2639,2646
2639,3258
2640,3603
2640,3959
2641,3208
2641,3341
2644,2762
2644,3316
2651,3012
2653,3830
2654,3541
2654,3743
2655,3542
2655,3869
2657,3429
2659,2929
2660,3785
2661,2737
2662,3031
2663,3682
2665,3097
2666,2839
2667,3143
2668,3545
2669,3908
2670,3252
2671,3881
2675,3232
2675,3561
2676,2903
2677,3499
2679,2820
2679,3162
2680,3637
2681,3102
2681,3346
2683,3290
2684,2908
2685,3553
2685,3721
2686,2733
2687,3928
2689,2998
2690,3574
2691,3234
2692,2710
2692,2940
2693,2863
2693,3209
2694,2831
2695,3476
2696,3590
2696,3748
2697,2992
2697,3940
2699,2734
2701,3083
2702,3436
2704,3273
2705,3946
2708,2815
2710,3846
2712,3756
2713,3267
2713,3402
2714,3017
2715,3978
2716,3618
2717,3672
2717,3881
2718,2836
2720,3701
2721,3126
2722,3020
2722,3219
2724,3160
2724,3582
2725,3058
2727,3257
2728,3545
2729,2731
2730,3340
2730,3565
2732,2753
2733,3271
2736,3063
2738,3501
2740,3826
2741,3164
2741,3441
2743,2745
2743,3445
2744,2943
2746,3257
2748,3808
2748,3872
2749,2798
2750,2927
2753,3098
2754,2941
2754,3097
2759,3190
2760,3183
2761,3453
2762,3970
2764,3630
2766,2893
2769,3540
2770,3355
2770,3972
2771,3951
2772,3887
2772,3989
2773,2921
2773,3810
2774,3408
2775,3710
2777,3851
2778,3023
2779,3598
2781,2861
2784,3811
2785,2786
2785,2789
2787,3533
2787,3883
2788,3535
2788,3712
2789,3636
2792,3161
2793,2986
2793,3352
2794,2822
2795,3521
2795,3890
2796,3390
2798,3589
2799,3010
2800,2875
2801,2837
2801,3229
2802,2960
2802,3007
2803,3972
2804,3270
2804,3663
2806,3700
2807,2977
2809,3065
2810,2910
2810,3579
2813,3047
2816,3468
2816,3894
2817,3062
2818,3905
2824,3065
2825,3977
2827,3640
2828,3407
2828,3445
2830,3150
2832,2996
2833,3598
2835,3505
2837,3440
2840,3627
2841,3705
2841,3892
2842,3448
2843,2967
2843,3785
2845,3146
2845,3527
2848,3678
2850,3271
2853,2872
2853,3002
2855,2865
2855,2917
2856,3412
2857,3148
2858,3313
2859,3176
2860,3273
2860,3766
2861,3404
2865,3192
2868,3064
2873,3132
2874,2959
2876,3090
2877,3851
2882,3004
2883,3372
2884,2981
2887,2928
2889,3886
2891,3870
2892,3292
2896,3808
2897,2917
2897,3946
2898,3380
2898,3845
2899,3799
2902,3938
2906,3138
2908,3045
2909,3055
2910,3474
2915,3928
2916,3106
2916,3340
2918,3225
2919,3491
2922,3126
2922,3770
2925,3127
2925,3897
2926,2983
2926,2987
2930,3041
2931,3157
2931,3847
2933,3688
2933,3813
2934,3920
2940,3586
2942,3758
2944,3587
2947,3298
2948,2970
2948,3943
2951,3683
2951,3969
2952,3319
2952,3715
2953,3608
2955,3425
2955,3608
2958,3373
2958,3570
2961,3932
2962,3731
2966,3147
2966,3612
2967,3448
2969,3580
2979,2984
2982,3511
2988,3102
2988,3888
2989,3619
2990,3434
2991,3502
2996,3600
2997,3600
2998,3188
3002,3199
3003,3387
3008,3134
3008,3551
3010,3084
3012,3799
3013,3830
3016,3508
3017,3767
3018,3422
3018,3828
3019,3428
3020,3474
3021,3768
3023,3412
3024,3312
3025,3770
3030,3317
3030,3905
3035,3192
3038,3872
3039,3861
3040,3523
3042,3700
3046,3124
3046,3595
3050,3260
3050,3558
3053,3900
3054,3549
3055,3937
3056,3491
3057,3544
3057,3741
3060,3284
3060,3516
3061,3802
3062,3098
3064,3955
3066,3796
3070,3155
3075,3305
3077,3769
3079,3807
3086,3184
3096,3152
3100,3378
3103,3428
3103,3617
3107,3858
3111,3197
3112,3744
3113,3963
3115,3794
3116,3906
3117,3727
3119,3125
3120,3211
3121,3602
3125,3294
3135,3497
3136,3302
3137,3217
3138,3206
3141,3172
3141,3843
3144,3898
3145,3698
3145,3720
3147,3296
3150,3980
3151,3194
3159,3806
3164,3583
3165,3889
3167,3187
3167,3693
3170,3414
3175,3641
3179,3626
3183,3780
3185,3527
3189,3191
3191,3388
3194,3315
3198,3447
3198,3925
3204,3870
3208,3833
3211,3844
3212,3701
3214,3283
3214,3996
3216,3498
3216,3567
3218,3419
3218,3423
3223,3902
3224,3896
3227,3417
3227,3732
3230,3803
3230,3822
3233,3594
3238,3920
3239,3671
3241,3591
3241,3947
3242,3719
3247,3868
3254,3662
3254,3879
3255,3802
3256,3432
3260,3685
3266,3306
3267,3535
3268,3936
3269,3748
3269,3832
3276,3903
3277,3706
3278,3771
3279,3381
3281,3628
3281,3739
3282,3835
3282,3850
3285,3863
3286,3360
3289,3793
3293,3762
3294,3684
3295,3407
3297,3480
3300,3639
3302,3979
3306,3649
3308,3926
3310,3629
3311,3643
3312,3965
3314,3974
3323,3698
3324,3713
3325,3931
3329,3702
3330,3399
3330,3419
3332,3513
3333,3410
3334,3418
3338,3343
3339,3983
3342,3889
3345,3878
3353,3753
3356,3611
3359,3504
3363,3552
3363,3788
3364,3686
3369,3389
3371,3421
3371,3509
3374,3825
3374,3876
3382,3952
3383,3888
3384,3950
3388,3425
3389,3947
3393,3711
3393,3999
3395,3533
3395,3839
3397,3815
3397,3823
3399,3971
3403,3850
3411,3938
3414,3793
3415,3676
3420,3537
3420,3688
3424,3978
3426,3531
3431,3506
3432,3464
3433,3439
3437,3862
3438,3473
3440,3442
3441,3806
3444,3713
3446,3962
3455,3588
3457,3459
3460,3737
3464,3798
3467,3525
3469,3555
3469,3665
3472,3932
3473,3581
3478,3738
3481,3511
3484,3529
3488,3745
3492,3753
3494,3790
3498,3971
3502,3591
3503,3696
3517,3617
3519,3521
3528,3746
3530,3992
3534,3674
3537,3898
3541,3623
3542,3606
3543,3557
3546,3735
3548,3721
3550,3709
3551,3618
3557,3660
3558,3561
3567,3803
3568,3930
3572,3777
3576,3604
3576,3895
3581,3739
3583,3778
3584,3861
3589,3667
3592,3845
3595,3681
3601,3801
3606,3690
3609,3738
3609,3939
3624,3628
3624,3877
3625,3902
3625,3936
3629,3638
3638,3895
3639,3893
3646,3689
3650,3656
3654,3745
3657,3986
3660,3790
3665,3683
3667,3976
3675,3797
3680,3725
3681,3695
3684,3755
3689,3766
3694,3987
3718,3893
3726,3832
3732,3941
3736,3869
3764,3996
3772,3788
3775,3919
3780,3789
3784,3906
3797,3857
3818,3935
3822,3854
3841,3929
3856,3984
3878,3968
3886,3986
3916,3997
3941,3966
3945,3953
3953,3967
3954,3990
3982,3999
