i,j
1821,3649
1821,3652
1823,3160
1823,3875
1824,2867
1824,4164
1825,1862
1825,4013
1826,3825
1827,3189
1827,3829
1829,1920
1829,3414
1831,2978
1831,3125
1832,2336
1832,3526
1833,3277
1835,3996
1837,3269
1838,2085
1838,2495
1839,1963
1839,2299
1840,2150
1840,2481
1841,4324
1843,1852
1843,2542
1844,3087
1844,4015
1845,2621
1845,3958
1846,2937
1847,1857
1848,2162
1849,2049
1849,2943
1850,3809
1851,1928
1854,3081
1854,3109
1855,3970
1855,4004
1858,2216
1858,3859
1859,3625
1859,3722
1860,1934
1860,4034
1861,2032
1861,3392
1862,4171
1863,2399
1863,3551
1864,2192
1864,3289
1865,2002
1866,3770
1866,3992
1867,2856
1867,3283
1868,2179
1869,3402
1869,3625
1870,2976
1871,1943
1872,3080
1876,3568
1876,4151
1877,3041
1878,3355
1878,3695
1879,3120
1879,4258
1880,3609
1880,4408
1881,2018
1881,3170
1882,2354
1883,2447
1884,4412
1885,2591
1885,4091
1887,4368
1888,1976
1889,3840
1890,2755
1890,4217
1891,3048
1891,3499
1892,2432
1892,3707
1893,2974
1894,2253
1894,3850
1895,2904
1896,3602
1897,3718
1898,3663
1899,2245
1899,2819
1900,3280
1902,2539
1902,4170
1903,2318
1904,4275
1905,2522
1905,3206
1906,2525
1906,3251
1907,3148
1907,3830
1909,3137
1909,4383
1910,2579
1910,3144
1911,3968
1912,2104
1912,3210
1913,2044
1913,3828
1914,2742
1914,3994
1915,2957
1915,3252
1916,2474
1918,3732
1918,4231
1919,4136
1919,4378
1920,3333
1921,3972
1922,2280
1923,3745
1925,2074
1926,2415
1926,4135
1927,3221
1928,2097
1929,2069
1929,4242
1930,2444
1930,3066
1931,2493
1931,4043
1932,2159
1933,2101
1934,2903
1935,2507
1935,3613
1936,2690
1936,4051
1937,3292
1938,2124
1939,2852
1939,3593
1940,3883
1941,2104
1942,3336
1942,3582
1944,1951
1945,2236
1945,3184
1946,2562
1947,3406
1950,1996
1951,3718
1952,3562
1952,4398
1953,2723
1953,3471
1954,2163
1954,2874
1955,3835
1956,2746
1957,3107
1957,3248
1958,3222
1960,2510
1962,3566
1963,2504
1964,2312
1965,2672
1965,2774
1967,3012
1970,2077
1970,2304
1971,2804
1972,2592
1972,3546
1973,3352
1973,3402
1974,2068
1974,2719
1975,4162
1977,2116
1978,3702
1979,2979
1981,2176
1982,2118
1982,3944
1983,2570
1984,2258
1985,2794
1987,2295
1987,3834
1988,2137
1989,4226
1989,4391
1991,2722
1991,3348
1994,2039
1994,3770
1995,2474
1995,4192
1996,2916
1997,2402
1997,3326
1998,2242
1999,3603
2000,3404
2000,4040
2001,4208
2004,2093
2006,4420
2007,3464
2008,3610
2009,2146
2009,3195
2010,2946
2010,4156
2011,2073
2011,4020
2012,2993
2012,3189
2013,2051
2013,4270
2014,4306
2015,3345
2016,2134
2016,3729
2017,3084
2018,2608
2020,3076
2020,3498
2022,2388
2023,3842
2023,3882
2024,3874
2024,3998
2025,4328
2027,2648
2027,3789
2028,3287
2028,3614
2031,4014
2032,2040
2033,3955
2033,4229
2034,4063
2035,3880
2036,2953
2036,4263
2038,3118
2039,2181
2040,2837
2042,2769
2042,4118
2043,3181
2043,4223
2044,2172
2045,4054
2046,2744
2046,3132
2047,4362
2048,2953
2048,3457
2050,3747
2051,4155
2053,2059
2053,3349
2055,2369
2055,3412
2056,2910
2056,3072
2057,3050
2058,3477
2058,4198
2059,2895
2060,2144
2060,2732
2061,2681
2061,3492
2063,3271
2063,3613
2064,3950
2065,2936
2066,2823
2066,4400
2068,3140
2069,2407
2070,2202
2071,2308
2071,3062
2073,4092
2074,3244
2075,2795
2075,3434
2076,2621
2078,3682
2079,2087
2079,4413
2080,3918
2081,3231
2081,3933
2082,4115
2083,3225
2083,4238
2084,2730
2085,2597
2086,3845
2086,3983
2087,2310
2089,2329
2089,3387
2092,2256
2092,3927
2093,2249
2094,2563
2094,4181
2095,2413
2096,3741
2097,3799
2098,3827
2098,4420
2099,3948
2100,3010
2100,4108
2101,3038
2102,2473
2102,3001
2105,3695
2106,2553
2107,2981
2107,4404
2108,2335
2108,2439
2109,2761
2109,4292
2110,3165
2111,3217
2111,3268
2112,2810
2112,3380
2115,2874
2115,3849
2116,3331
2118,3612
2119,2380
2120,2175
2120,3015
2122,3968
2124,3980
2125,2263
2125,3766
2126,2348
2127,2489
2127,3793
2128,2997
2128,3224
2130,3608
2132,2910
2132,4209
2133,2349
2133,2516
2135,3553
2136,2250
2136,2296
2138,2996
2138,3123
2141,2331
2141,4380
2143,2571
2143,3535
2146,2904
2147,3138
2149,4302
2151,2195
2151,3640
2152,3070
2153,2986
2153,4086
2155,2156
2155,3561
2156,3953
2157,2696
2162,2576
2164,2534
2164,2925
2165,2568
2165,4238
2166,3168
2166,3417
2167,3950
2168,3743
2169,3604
2169,4186
2170,2303
2170,2550
2171,3494
2171,4311
2172,3236
2173,3332
2173,3365
2174,3899
2175,3194
2177,3365
2178,2480
2178,2839
2180,3879
2182,3159
2183,2259
2184,2281
2184,2774
2187,2801
2187,3013
2188,3023
2188,3330
2189,2797
2189,3370
2190,3888
2190,4137
2191,4168
2193,4107
2193,4131
2194,3721
2194,4265
2195,2922
2196,2637
2196,3202
2197,3033
2197,4121
2198,2341
2198,3226
2199,2943
2200,2440
2200,2797
2201,3543
2201,4023
2202,4109
2203,2682
2203,3047
2204,3669
2204,4045
2205,2235
2209,2445
2210,3696
2211,2470
2211,4424
2213,4240
2214,2289
2215,2311
2216,3068
2217,3626
2218,4158
2219,3026
2219,4086
2220,2392
2220,4058
2221,2906
2222,2762
2222,2768
2223,3840
2224,2617
2224,4099
2225,2599
2225,3287
2226,2840
2227,2243
2227,2275
2228,3230
2229,2789
2230,2891
2232,2368
2232,2958
2234,2582
2234,2828
2236,2575
2237,3226
2238,3010
2240,2521
2240,2622
2244,2632
2244,3618
2245,2740
2249,3876
2251,2771
2251,3296
2252,3578
2252,3836
2253,4070
2254,4018
2255,2430
2256,3744
2258,3851
2260,4276
2261,2580
2261,3985
2263,3142
2264,2725
2264,3476
2265,2533
2265,3311
2266,3279
2266,3429
2267,4360
2268,3639
2269,3143
2269,3900
2271,3099
2272,3932
2276,2939
2276,3815
2277,3002
2277,3577
2278,3421
2278,3576
2279,2360
2279,3803
2281,3726
2283,2705
2284,3087
2284,3130
2287,3113
2287,4161
2288,4279
2291,4383
2292,2317
2292,4070
2293,2442
2293,3134
2294,4006
2295,2624
2297,3397
2297,3508
2299,3998
2302,4291
2302,4308
2303,2958
2306,2868
2307,2311
2308,2359
2309,4207
2309,4369
2313,3674
2313,4145
2316,2695
2316,3984
2317,3714
2318,3995
2319,3177
2319,3574
2320,4346
2323,2529
2323,3408
2324,2675
2324,3435
2325,3027
2325,4122
2326,2973
2327,3914
2328,3600
2328,4416
2329,4313
2330,3517
2330,4248
2333,3781
2338,3489
2339,2947
2339,4139
2340,4069
2340,4167
2341,3689
2346,4092
2349,3008
2350,3712
2351,2552
2351,3043
2352,3659
2352,3788
2353,2855
2353,3776
2354,3713
2355,3555
2358,2987
2358,3769
2359,2493
2360,2861
2361,2478
2361,3350
2363,3079
2363,3955
2364,2592
2364,3235
2365,2667
2365,3872
2366,3400
2366,4433
2367,2520
2368,3509
2369,3694
2370,2616
2370,4428
2371,2383
2371,4363
2372,3488
2373,2653
2374,2659
2375,4226
2376,3221
2376,3673
2377,2893
2377,3495
2378,3811
2378,4075
2379,3493
2379,4260
2381,3606
2382,3439
2382,4353
2383,4225
2384,3430
2385,3665
2386,2559
2386,3106
2387,3290
2388,2946
2389,3903
2390,3503
2390,3655
2392,4417
2396,3363
2396,3601
2398,3622
2400,2485
2401,4180
2401,4261
2403,3061
2403,4169
2404,2760
2404,3444
2405,3868
2405,4173
2407,3717
2408,3601
2410,2923
2410,3085
2411,2813
2412,2931
2413,3922
2414,3058
2415,4057
2416,2759
2417,3340
2417,4348
2418,3797
2418,4052
2419,2582
2419,3951
2420,2527
2422,4263
2423,2518
2423,4236
2424,2748
2424,3399
2425,3038
2426,2886
2426,3258
2428,2981
2428,3004
2429,2785
2429,2996
2430,4397
2433,3259
2434,3396
2434,4298
2435,3275
2435,3461
2436,3716
2436,3928
2437,2931
2437,3073
2438,3085
2440,2483
2442,4253
2443,3499
2445,3367
2446,3265
2448,2702
2448,3530
2449,2826
2449,4111
2450,3285
2450,4055
2452,2697
2452,4278
2453,2757
2453,3877
2455,4284
2455,4414
2456,2988
2456,3690
2457,2758
2457,3586
2458,3088
2458,4231
2459,4241
2460,3559
2461,4345
2462,3118
2462,4265
2464,2651
2465,3345
2465,3448
2466,2711
2466,2729
2467,3092
2467,3654
2469,3645
2469,3864
2470,4300
2471,2610
2472,3154
2472,3683
2475,2870
2476,2533
2477,3627
2478,3977
2479,3018
2479,3074
2480,2879
2482,3009
2482,3779
2483,3339
2484,2863
2484,3643
2485,4431
2486,2929
2486,3715
2487,3036
2487,3641
2488,4071
2488,4072
2489,2918
2490,3853
2491,2790
2491,3829
2492,3736
2494,3871
2495,3572
2496,3994
2497,2956
2498,3059
2498,3388
2499,2728
2499,3927
2501,2587
2501,3536
2502,3037
2502,4405
2503,3314
2504,3164
2505,3090
2505,3723
2506,3056
2507,4165
2508,4366
2509,3377
2509,3419
2510,2883
2511,3101
2511,3305
2512,3327
2512,3431
2513,3659
2514,2879
2515,3341
2515,3348
2516,3219
2517,3619
2520,2688
2521,3679
2522,3604
2524,3957
2526,3486
2526,3602
2527,3875
2528,3791
2529,2959
2530,3245
2531,4003
2532,4001
2534,2536
2535,2965
2537,4197
2538,3905
2540,2871
2540,3334
2541,2620
2541,4274
2542,2937
2543,2930
2543,3197
2544,3201
2544,3439
2545,2826
2545,4081
2546,3214
2547,3333
2548,2760
2548,3246
2549,2805
2552,3637
2553,3544
2554,2612
2554,2723
2555,2656
2555,3844
2556,2728
2556,4164
2557,3962
2558,3090
2558,3347
2559,2803
2560,3110
2562,4017
2564,4134
2565,2695
2566,4184
2568,2962
2569,2630
2569,4150
2570,3723
2571,3769
2573,2824
2573,3354
2574,2859
2574,3369
2575,3831
2577,3238
2577,3361
2580,2777
2581,3991
2583,3783
2583,4307
2584,2990
2585,3575
2585,4387
2586,2589
2586,3515
2588,4252
2589,3577
2590,3446
2590,3976
2591,3913
2593,3864
2594,2643
2594,3036
2595,2905
2595,3843
2597,3211
2598,3818
2598,4196
2600,3665
2600,3971
2601,4414
2603,2636
2603,3872
2604,2650
2604,3683
2606,2657
2606,3790
2607,3405
2607,4345
2608,4138
2609,3237
2611,3145
2611,3643
2612,3569
2613,3620
2614,2616
2615,3832
2615,4259
2617,4148
2618,3566
2618,3758
2622,3374
2623,2647
2624,4240
2626,3097
2626,3451
2628,3705
2628,3767
2629,2916
2629,3129
2630,3272
2631,2976
2632,4237
2634,3436
2634,3676
2635,3742
2636,3680
2637,4237
2638,2872
2639,2843
2639,4093
2641,2741
2641,3746
2642,3291
2642,3384
2643,3705
2644,2834
2644,3443
2645,2722
2645,2919
2646,2805
2646,3638
2647,2973
2648,3214
2649,3990
2649,4262
2650,3571
2651,2663
2652,3982
2654,3874
2655,3255
2655,3964
2657,4195
2658,2995
2658,3080
2660,3975
2660,4249
2661,2825
2662,2769
2662,4400
2664,2897
2664,3482
2665,2924
2666,2992
2667,3654
2668,3007
2669,2961
2669,3956
2671,2784
2671,3639
2672,4266
2676,3076
2676,4267
2677,4182
2677,4269
2678,2679
2679,3589
2680,3057
2680,3720
2683,2726
2683,2888
2684,3039
2684,4039
2685,3307
2685,4215
2686,3440
2686,4191
2689,3131
2689,4402
2690,3708
2691,3552
2691,3721
2692,3267
2692,4353
2693,3687
2694,3208
2694,3969
2699,3021
2699,3397
2700,4049
2701,2841
2701,3174
2702,2793
2703,2745
2706,3025
2706,4396
2708,3961
2708,4347
2709,3384
2709,3844
2710,4330
2711,3542
2712,3727
2712,4209
2713,2966
2714,3163
2716,2816
2717,4269
2718,3634
2718,4179
2721,3451
2725,3754
2726,3530
2729,3364
2730,3936
2733,3572
2733,3673
2734,2878
2734,3511
2735,3069
2736,2918
2736,4280
2737,2820
2738,2905
2738,2961
2739,3249
2740,3711
2741,3268
2742,3264
2743,3483
2744,3807
2745,4083
2748,3545
2749,3362
2750,3191
2750,4066
2751,4135
2754,4399
2755,3567
2756,4117
2757,3306
2758,3534
2761,4379
2763,3063
2764,4220
2764,4325
2765,3676
2765,4028
2766,3063
2766,3531
2768,4291
2770,2851
2770,4309
2771,2983
2772,3761
2773,2827
2773,4409
2775,3608
2776,3435
2777,2925
2778,3939
2779,3108
2779,3360
2780,3519
2780,4358
2781,2952
2781,3229
2782,2835
2782,4289
2785,3395
2786,3932
2788,3170
2788,4007
2791,2846
2791,3865
2793,4429
2795,4075
2798,3774
2799,3415
2799,4047
2800,2938
2800,4076
2801,3091
2802,2823
2802,4203
2803,4167
2806,3169
2806,3295
2807,3127
2809,3131
2809,4306
2810,3207
2812,2821
2812,2840
2813,2844
2814,4187
2815,3372
2815,4098
2816,3715
2817,3086
2818,2960
2818,3642
2819,3024
2822,2949
2822,3730
2825,4377
2827,3134
2828,2975
2829,3523
2829,3537
2830,4215
2831,3179
2831,4405
2832,3044
2832,3328
2833,4016
2833,4152
2835,3764
2837,4021
2838,2907
2838,3839
2839,4001
2841,4290
2842,2860
2842,3764
2843,2913
2844,3218
2845,4321
2846,3183
2847,3647
2847,4040
2848,3835
2848,4108
2851,3443
2853,3986
2853,4350
2854,3666
2854,3707
2855,2917
2856,3441
2857,4218
2860,4249
2861,3437
2862,4354
2865,3149
2865,3179
2866,3558
2868,3376
2870,3565
2873,3323
2873,3396
2875,3724
2875,4230
2876,3790
2876,3879
2877,3485
2877,4132
2878,3589
2881,3054
2882,3947
2882,4235
2884,3938
2885,4088
2886,3262
2887,4357
2893,4064
2894,4241
2896,3929
2897,4099
2898,3061
2901,3538
2901,4334
2902,3382
2903,3529
2907,3351
2908,3493
2909,3798
2911,4233
2912,4290
2913,3073
2914,3518
2915,3003
2915,4110
2919,3556
2920,3449
2920,3767
2921,4378
2923,3967
2924,3052
2926,4095
2927,3963
2927,4310
2929,3546
2930,3245
2932,2944
2932,3399
2934,4100
2935,3580
2935,4288
2936,3744
2938,3020
2939,3858
2940,3215
2942,3208
2944,4288
2945,3936
2945,4068
2948,3255
2949,4280
2950,3334
2951,3524
2952,4333
2954,3672
2955,4273
2962,3188
2963,3971
2963,4213
2964,3367
2966,3515
2967,3167
2967,3304
2968,3111
2969,3140
2969,3884
2972,3031
2972,3615
2974,3460
2975,3374
2978,3342
2980,3290
2980,3485
2982,3899
2984,3817
2985,3313
2985,4147
2986,3995
2987,3027
2988,3650
2989,3000
2991,3146
2991,3352
2993,3372
2994,3161
2994,4256
2995,3329
2997,4272
2998,3587
2998,4393
2999,3952
2999,4299
3000,3392
3001,3174
3002,3700
3003,3405
3005,3975
3005,4190
3006,3858
3009,3869
3012,3032
3013,3726
3015,3444
3016,3734
3018,3150
3020,3522
3022,3051
3022,3320
3025,3300
3028,3475
3028,3527
3029,3841
3029,4116
3030,3193
3031,4395
3032,3474
3033,3416
3034,3062
3035,3626
3037,4301
3039,4352
3040,4062
3041,3860
3043,3985
3044,3408
3045,4295
3046,4200
3046,4260
3051,4184
3052,3393
3055,3542
3055,4323
3056,4160
3057,4331
3059,4015
3060,4146
3064,3286
3065,3238
3065,3376
3066,3196
3068,3414
3069,3905
3071,3120
3072,3297
3074,3417
3079,3232
3081,3590
3083,3466
3083,3838
3084,4192
3091,3267
3092,4301
3093,3122
3094,3502
3096,3702
3096,4332
3097,4347
3098,3859
3100,3777
3100,4377
3103,3206
3105,3467
3106,3638
3107,3563
3108,3895
3112,3548
3112,4370
3114,3215
3114,3708
3115,3154
3115,3483
3117,3220
3121,4078
3123,3325
3124,3536
3126,3699
3126,3867
3128,3664
3130,3176
3132,3434
3135,3658
3136,3559
3139,3331
3141,3925
3141,4120
3142,3148
3143,4386
3144,3662
3145,3340
3147,4430
3149,3978
3150,4067
3151,4195
3153,3366
3156,3311
3157,4042
3158,3426
3160,4150
3161,3201
3162,3461
3162,4069
3164,3944
3165,3952
3166,4194
3166,4236
3167,3312
3168,3366
3169,4387
3172,3176
3172,3678
3173,4071
3173,4154
3175,3768
3175,4067
3177,4058
3180,3454
3181,3973
3182,3327
3182,3937
3183,3881
3184,4065
3186,4142
3187,3578
3188,3787
3192,3540
3192,4366
3193,4371
3194,3320
3202,4129
3203,3378
3203,3741
3204,4166
3204,4409
3209,3441
3209,3988
3211,3730
3212,3519
3212,3565
3213,3692
3216,3974
3218,3774
3219,3296
3222,4346
3224,3761
3227,3247
3227,4008
3228,3456
3230,3725
3231,3763
3233,3575
3233,3979
3235,3681
3236,4185
3239,3455
3240,3889
3240,4316
3241,3772
3241,4379
3242,3295
3242,4029
3244,3823
3248,4336
3249,4165
3251,3959
3252,3657
3253,3568
3253,4411
3254,3423
3254,4144
3257,4272
3258,3856
3259,3486
3260,3896
3260,4147
3261,3902
3263,3800
3264,3644
3265,4132
3271,3421
3272,3586
3274,4021
3274,4329
3275,4130
3276,3693
3276,4419
3277,4194
3278,3557
3278,4204
3281,3404
3283,3893
3284,4256
3285,4410
3286,4144
3289,4030
3291,4065
3293,3679
3293,3731
3298,3383
3299,4311
3300,3977
3301,3549
3301,4159
3302,3490
3302,3933
3304,3466
3305,3842
3308,4312
3309,4088
3312,3540
3315,3651
3315,3722
3316,3329
3316,4033
3317,3380
3318,3740
3322,3371
3322,4002
3323,3904
3325,3590
3332,4426
3335,3823
3335,3953
3336,4211
3338,3889
3339,3690
3342,3866
3343,4090
3343,4354
3346,4427
3347,3521
3349,4421
3351,3360
3355,4284
3358,4341
3361,3484
3363,3468
3364,3796
3369,3529
3371,3458
3373,3710
3375,3490
3377,4039
3379,3564
3379,3824
3381,3474
3382,3545
3385,4340
3388,4189
3389,3982
3390,3420
3390,3495
3391,3789
3393,4331
3395,3655
3401,3886
3407,4380
3411,3949
3412,3430
3413,4297
3413,4389
3415,3548
3420,3794
3422,3450
3424,3850
3425,3731
3425,4276
3427,3836
3428,3554
3428,4394
3432,4322
3433,4373
3436,3877
3437,4183
3438,3753
3442,4214
3445,3560
3446,3629
3447,3903
3447,4102
3452,3891
3453,3623
3454,3628
3457,4127
3458,3693
3459,3922
3462,3487
3462,3587
3463,3594
3464,4107
3465,4289
3467,3778
3469,3919
3469,3956
3470,3658
3470,4352
3475,4323
3476,3882
3478,4153
3480,3808
3481,3794
3481,3987
3488,4246
3489,4096
3492,4239
3494,3981
3496,3667
3496,3923
3498,3508
3500,4279
3500,4337
3502,4262
3503,4076
3504,3841
3506,3895
3506,3938
3507,3863
3507,3987
3509,3581
3510,3881
3511,4422
3512,3814
3513,3812
3513,3813
3516,4371
3518,4223
3520,4185
3525,3583
3526,3848
3527,3564
3528,4252
3531,3816
3532,4297
3538,4204
3543,4404
3547,3563
3547,4389
3550,4050
3550,4417
3551,4005
3554,4063
3557,4060
3558,3634
3560,3887
3561,3685
3562,4033
3567,3947
3570,4221
3571,3573
3573,3703
3574,4012
3579,4210
3581,3675
3584,3614
3585,3795
3591,4212
3592,4381
3594,4174
3596,3687
3597,4090
3598,4210
3599,3941
3599,4230
3600,4394
3618,4217
3620,4203
3624,3825
3624,3854
3627,3966
3629,3760
3640,3942
3641,3939
3642,4267
3646,3873
3646,3902
3647,3666
3648,3751
3650,3839
3651,3833
3656,3834
3656,4329
3657,4328
3661,3824
3662,3984
3667,4419
3671,3793
3671,3861
3674,3846
3680,3776
3681,4060
3684,3785
3684,3830
3686,4228
3694,3716
3698,4367
3699,4175
3700,3734
3703,4146
3704,3727
3711,3852
3714,3740
3719,4013
3719,4162
3724,3890
3728,3996
3732,4064
3735,3760
3735,3908
3737,4182
3739,4138
3739,4299
3742,4154
3744,4264
3754,4016
3755,4374
3757,3993
3765,4336
3768,4120
3778,4334
3780,4271
3782,4423
3784,4287
3787,4401
3791,3908
3792,4048
3796,3923
3797,4308
3800,4105
3801,3904
3801,4235
3803,4359
3805,3826
3807,3892
3811,3893
3817,4385
3818,4403
3819,4411
3822,4205
3826,4364
3831,4403
3833,4190
3837,4046
3843,4315
3846,4177
3847,4418
3849,4432
3851,4032
3855,4031
3865,4268
3866,4257
3867,4370
3868,4382
3869,4114
3870,4180
3886,3926
3887,4155
3894,4101
3894,4122
3897,4172
3898,4087
3900,4357
3901,4248
3910,4020
3910,4292
3911,4024
3911,4094
3913,4304
3921,4317
3924,4413
3925,4282
3928,4386
3930,4029
3930,4130
3931,4095
3937,3964
3940,4232
3946,3960
3951,3962
3957,4137
3958,4153
3959,4407
3963,4100
3973,3997
3976,4282
3986,4316
3989,4392
3992,4032
4002,4416
4007,4384
4010,4275
4019,4314
4028,4176
4034,4098
4036,4179
4037,4319
4037,4392
4041,4121
4042,4401
4044,4085
4047,4181
4048,4129
4049,4305
4051,4266
4056,4168
4056,4368
4059,4359
4061,4427
4073,4178
4078,4211
4081,4304
4084,4285
4091,4110
4102,4396
4103,4349
4105,4274
4106,4339
4111,4143
4114,4166
4119,4261
4127,4225
4133,4234
4136,4318
4140,4253
4140,4356
4143,4176
4148,4197
4149,4303
4157,4208
4163,4229
4171,4430
4173,4183
4174,4361
4175,4393
4188,4391
4202,4239
4243,4321
4254,4395
4254,4410
4264,4303
4270,4273
4286,4364
4293,4307
4298,4375
4300,4428
4310,4425
4361,4431
4369,4372
4384,4422
