i,j
431,3456
432,4031
433,1580
435,541
436,2282
436,3256
437,3178
438,463
439,659
440,1600
440,2163
441,446
441,456
442,913
443,831
443,982
444,1068
445,1044
445,1069
447,3117
447,3652
448,1700
448,4089
449,1483
449,4206
450,898
450,3878
451,465
451,662
452,1124
452,4082
453,881
454,947
454,4234
455,1228
455,2523
456,1819
457,1386
457,3460
458,563
459,2139
459,2982
461,1809
461,3738
462,2638
462,3243
463,487
464,1322
464,1518
465,566
466,1429
466,3269
467,1324
467,2199
468,1514
468,4000
469,567
470,3078
471,805
472,874
472,2247
473,1241
474,1086
474,1105
475,749
475,3385
476,493
476,1663
477,608
477,679
478,1107
479,980
480,1149
480,1591
481,957
481,2080
482,941
482,2850
483,3617
484,1584
484,2014
485,503
486,1853
486,2894
488,868
489,2454
490,1006
490,2117
491,4027
493,2814
494,1782
494,3847
495,830
495,3802
496,1274
496,2241
497,595
497,1147
498,2286
498,4125
500,3152
500,3606
501,865
501,4245
502,566
502,727
503,960
504,1396
504,2490
505,3772
505,3929
506,1057
507,835
507,1083
508,986
508,3983
509,1225
509,2477
511,555
511,1021
512,1100
513,2883
513,3324
514,2880
515,2640
515,3871
516,1124
516,3945
517,3692
517,3749
518,923
519,1363
520,1794
520,2928
521,1709
521,3821
522,992
524,2724
524,4112
526,535
526,964
527,1380
528,2858
528,3359
529,1119
529,3288
530,1275
530,3152
531,916
531,2026
532,2090
533,2280
533,2869
534,2082
535,1373
537,1774
537,2077
539,800
539,1265
540,1444
540,2704
541,591
542,731
543,828
543,2619
544,2185
544,3205
545,1846
545,2623
546,806
546,1030
547,721
547,2320
548,731
548,3595
549,1837
549,2294
550,1312
551,2409
551,4106
552,599
552,3570
553,832
553,981
554,624
555,2625
556,1064
556,1635
557,3999
557,4250
558,858
558,1113
559,3484
559,3535
560,2321
561,1803
561,2463
562,736
563,636
564,568
564,1593
565,2398
565,3357
567,838
568,1971
569,1875
569,3915
570,909
570,2746
571,1000
571,1503
572,4199
573,1794
573,2343
574,3945
574,4187
575,686
575,1055
577,2783
579,1163
579,2796
580,1924
580,3442
581,755
581,2090
582,1192
582,3934
583,966
584,758
585,2610
585,3050
586,1320
586,2789
587,2394
587,2460
588,1166
588,3077
589,973
589,1758
591,831
592,2117
592,4079
593,1870
593,4198
594,2941
595,3960
596,2239
596,3653
597,1233
598,4271
600,845
600,1616
601,1977
601,3346
602,2007
602,3873
603,941
603,1917
604,699
604,1851
605,919
605,2536
606,1445
606,3921
607,666
607,900
608,1020
609,2304
609,4415
610,2811
610,4038
611,971
611,1868
612,4133
613,880
614,4093
614,4201
615,1793
615,2889
616,708
616,3636
617,1026
617,3756
618,3762
618,4327
619,842
619,1078
621,2441
621,3591
622,1671
622,2037
623,706
623,2427
624,4083
625,1153
625,1675
626,1877
626,2971
627,1986
627,2970
628,1601
628,4003
629,1038
629,3805
630,2255
631,3401
631,4141
632,2900
632,4219
633,1132
633,4397
634,2148
634,3104
636,1114
637,819
637,1132
638,1187
639,3159
640,734
640,1308
641,1964
641,4141
642,1082
642,3517
643,1129
644,873
644,3239
645,862
646,1820
646,2228
647,3386
648,3353
649,2332
649,2531
651,1671
651,2145
652,2321
653,987
653,1184
654,1302
654,1510
656,2394
656,4338
657,1453
657,2704
658,2374
659,2030
660,799
660,910
661,1526
661,2231
662,1796
663,1427
663,3717
664,1873
664,2581
667,1086
667,2312
668,1395
668,1873
669,780
669,4219
670,1516
670,4142
671,1452
671,3263
672,1240
672,2305
673,1691
674,2129
674,2898
675,1887
675,4432
676,1171
676,3250
677,1090
677,4275
678,902
678,4139
680,1169
680,3689
681,716
681,1030
682,811
682,985
683,1676
683,4322
684,3053
685,947
685,1025
686,1025
687,3455
688,1054
688,4096
689,1257
689,2206
690,2137
690,2183
691,1058
691,3697
692,898
692,2122
693,1082
693,3943
694,1302
695,4205
697,1806
697,2906
698,1059
698,1129
699,772
700,707
700,1911
701,1001
701,3966
702,1477
702,2406
703,786
703,1709
704,2158
704,2609
705,883
705,2285
706,2019
707,4009
708,859
709,2006
709,3270
710,3528
710,4317
711,2233
711,3878
712,741
712,4125
714,770
715,813
715,3771
716,4026
717,1886
717,4348
718,921
718,1790
719,2229
720,938
720,1702
721,1151
722,1037
722,2333
723,2285
723,2332
724,2666
725,1096
725,3857
726,2439
726,3337
727,766
728,972
729,776
729,2707
730,1145
730,3623
732,1411
732,1786
733,1031
734,2242
735,1000
735,2889
736,1273
737,1217
737,3186
738,2207
738,2212
739,909
739,996
740,2121
740,3845
741,2753
742,1151
742,3943
743,745
743,2767
744,3403
744,3686
745,1948
746,2578
747,1482
747,4077
748,867
748,1511
750,3583
750,4227
751,1784
752,1047
753,1155
753,4112
754,3747
754,4374
755,2041
756,1003
756,1792
757,974
757,2890
759,4222
759,4277
760,768
760,1960
761,3220
761,3917
762,1633
762,1708
763,2148
764,786
764,1990
765,2246
765,4281
766,933
767,1610
767,2206
768,1249
769,854
769,1057
771,852
771,993
772,2145
773,1560
774,871
775,1378
775,1453
776,2724
778,2409
778,2753
779,1221
779,1536
780,4283
781,1104
782,1596
782,2749
783,1685
783,2633
784,1206
784,3897
785,3999
787,824
787,4218
788,2807
789,1007
789,3357
790,3533
791,1248
791,3048
792,1461
792,2154
793,1969
794,977
794,2301
795,1488
795,3303
796,1029
796,1513
798,1782
799,2468
800,3709
801,2345
801,4170
802,2355
804,1588
804,1681
805,1993
806,1856
807,1075
807,1113
808,4212
808,4318
809,3049
809,4027
810,3266
811,1393
814,3862
815,1961
815,4251
816,1074
816,2233
817,3089
817,3541
818,989
819,926
820,914
821,3696
823,860
